;0
carrefour;;305.13;120.81000000000003
carrefour;;255.38;166.48000000000002
carrefour;;150.71;153.86
carrefour;;307.76;123.08000000000001
carrefour;;247.3;101.48000000000002
carrefour;;65.43;150.92000000000002
carrefour;;167.78;154.50000000000003
carrefour;;65.65;170.28000000000003
carrefour;;247.21;96.76000000000002
carrefour;;65.21;120.81000000000003
carrefour;;174.04;147.69000000000003
carrefour;;305.94;113.64000000000001
carrefour;;57.95;170.23000000000002
carrefour;;78.37;151.01000000000002
carrefour;;181.39;151.32000000000002
carrefour;;36;156.56000000000003
carrefour;;132.82;144.69000000000003
carrefour;;229.69;102.57000000000002
carrefour;;132.55;150.86
carrefour;;94.42;151.08
carrefour;;146.53;144.69000000000003
carrefour;;290.92;147.64000000000001
carrefour;;120.1;173.98000000000002
carrefour;;121.39;150.41000000000003
carrefour;;98.35;151.14000000000001
carrefour;;195.59;151.04000000000002
carrefour;;132.54;173.98000000000002
carrefour;;121.48;126.99000000000004
carrefour;;255.47;102.57000000000002
carrefour;;133.19;119.99000000000004
carrefour;;106.23;126.99000000000004
carrefour;;119.84;96.85000000000002
carrefour;;120.66;120.36000000000001
carrefour;;82.3;120.07000000000002
carrefour;;195.01;151.32000000000002
carrefour;;300.68;150.95000000000002
carrefour;;132.55;96.94000000000003
carrefour;;121.57;138.33
carrefour;;102.68;121.07000000000002
carrefour;;194.83;147.69000000000003
carrefour;;300.95;157.13000000000002
carrefour;;119.85;101.88000000000002
carrefour;;247.3;144.60000000000002
carrefour;ascenseur;119.66;138.24000000000004
carrefour;;213.17;151.14000000000001
carrefour;;304.76;150.86
carrefour;;236.35;135.35000000000002
carrefour;;213.26;153.59000000000003
carrefour;;262.73;144.69000000000003
carrefour;;304.76;157.49
carrefour;;138.63;102.66000000000003
carrefour;;247.48;120.54000000000002
carrefour;;150.62;150.50000000000003
carrefour;;274.08;121.09000000000003
carrefour;;132.55;101.76000000000002
carrefour;;247.48;135.70000000000002
carrefour;;167.68;150.68000000000004
carrefour;;274.08;117.68000000000004
carrefour;;307.76;148.23000000000002
carrefour;;236.04;169.29
carrefour;ascenseur;249.66;135.61
carrefour;;174.31;150.59000000000003
carrefour;;273.63;150.59000000000003
carrefour;;94.42;153.43
carrefour;;113.4;102.57000000000002
carrefour;;236.41;120.72000000000003
carrefour;;78.24;147.74000000000004
carrefour;;273.72;153.22000000000003
carrefour;;98.35;154.63000000000002
carrefour;ascenseur;34.8;157.94000000000003
carrefour;;133.1;137.91000000000003
carrefour;;60.44;150.68000000000004
carrefour;;138.9;165.16000000000003
carrefour;;120.12;168.02000000000004
carrefour;;181.12;142.78000000000003
carrefour;;236.13;173.74
carrefour;;300.95;113.74000000000004
carrefour;;132.44;168.18
carrefour;;188.11;128.18000000000004
carrefour;;288.65;150.87000000000003
carrefour;;60.56;120.75000000000003
carrefour;;113.42;165.03000000000003
carrefour;;290.24;120.63000000000002
carrefour;;236.22;127.26000000000002
carrefour;;236.31;101.39000000000001
carrefour;;288.93;153.52000000000004
carrefour;;290.24;117.64000000000001
carrefour;;25.97;158.34000000000003
carrefour;;236.41;96.85000000000002
carrefour;;291.21;150.96000000000004
carrefour;;82.24;117.80000000000001
carrefour;;295.87;120.72000000000003
carrefour;;65.55;158.18
carrefour;;236.13;150.32000000000002
carrefour;;230.05;166.93
carrefour;;102.61;117.93000000000004
carrefour;;70.67;157.97000000000003
carrefour;;247.48;169.20000000000005
carrefour;;301.04;120.91000000000003
carrefour;;247.39;150.32000000000002
carrefour;;247.57;173.92000000000002
carrefour;;187.75;121.00000000000003
carrefour;;222.7;127.08000000000001
salle;5C
salle;027C
salle;1A
salle;024C
salle;64E
salle;071E
salle;toilettes
carrefour;;26.26;163.42000000000002
salle;entree
salle;4C
salle;029C
salle;032C
salle;034C
salle;038C
salle;050E
salle;053E
salle;9E
salle;060E
salle;065E
salle;069E
salle;1OE
carrefour;;19.73;160.54000000000002
;1
carrefour;;306.4;171.76000000000002
carrefour;;114.18;150.26000000000002
carrefour;;74.24;155.8
carrefour;;301.25;157.92000000000002
carrefour;;229.92;144.62000000000003
carrefour;;187.92;130.24000000000004
carrefour;;114.27;156.14000000000004
carrefour;;74.17;157.60000000000002
carrefour;;306.21;157.60000000000002
carrefour;;237.18;121.59000000000003
carrefour;;184.79;128.68000000000004
carrefour;;121.44;121.27000000000004
carrefour;;63.28;157.23000000000002
carrefour;;308.08;148.66000000000003
carrefour;;121.36;112.77000000000004
carrefour;;311.54;150.62000000000003
carrefour;;230.12;116.08000000000001
carrefour;;180.43;130.70000000000002
carrefour;;113.72;121.23000000000002
carrefour;;139.98;127.78000000000003
carrefour;;311.07;153.99
carrefour;;247.67;121.78000000000003
carrefour;;-1;280.66
carrefour;;187.1;141.07000000000002
carrefour;;113.63;116.26000000000002
carrefour;;139.98;144.02000000000004
carrefour;ascenseur;312.01;147.44000000000003
carrefour;;247.4;112.55000000000001
carrefour;;184.44;143.90000000000003
carrefour;;95.09;121.14000000000001
carrefour;ascenseur;119.78;138.96000000000004
carrefour;;279.06;150.50000000000003
carrefour;;253.11;121.64000000000001
carrefour;;94.82;118.25000000000003
carrefour;;42.89;157.03000000000003
carrefour;ascenseur;249.93;136.16000000000003
carrefour;;279.93;153.84000000000003
carrefour;;255.56;116.26000000000002
carrefour;;180.67;141.94000000000003
carrefour;;90.75;121.32000000000002
carrefour;;43.13;165.94000000000003
carrefour;;256.34;127.93000000000004
carrefour;;274.97;150.37000000000003
carrefour;;264.04;121.41000000000003
carrefour;;139.22;116.42000000000002
