;0
3;3.48
11;7.22
98;4.09
;1
97;8.35
100;10.79
183;2
;2
52;3.36
115;2.98
;3
0;3.48
108;12.42
;4
8;4.72
28;8.24
51;19.06
84;10.98
;5
9;30.11
13;12.94
71;5
92;7.25
;6
56;2.82
116;3.2
;7
12;7.7
92;12.1
;8
4;4.72
28;10.1
111;9.09
;9
5;30.11
33;17.1
80;4.65
;10
61;2.92
103;3.68
;11
0;7.22
;12
7;7.7
182;2
;13
5;12.94
19;16.05
66;3.28
;14
34;13.63
61;7.12
74;8.54
;15
69;1.83
87;10.19
92;29.6
;16
18;6.18
20;13.71
70;6.79
;17
84;6.73
88;8.82
141;2
;18
16;6.18
23;11.18
52;18.07
77;17.32
;19
13;16.05
24;3.93
63;2.36
;20
16;13.71
114;3.56
;21
89;3.33
123;4.21
;22
73;5.96
81;11.17
111;9.55
;23
18;11.18
24;23.04
37;12.08
73;17.66
;24
19;3.93
23;23.04
68;2.49
;25
35;5.08
89;4.39
;26
72;10.87
77;5.8
111;9.34
;27
30;15.25
32;6.68
37;11.35
;28
4;8.24
8;10.1
162;2
;29
32;12.53
54;18.34
70;17.82
101;54.57
;30
27;15.25
113;3.22
;31
64;8.62
111;10.74
41;5.04
;32
27;6.68
29;12.53
38;18
41;18.49
;33
9;17.1
38;20.37
90;3.28
;34
14;13.62
39;3.64
44;18.16
;35
25;5.08
40;6.18
45;4.09
;36
50;8.35
54;4.82
111;10.94
;37
23;12.08
27;11.35
43;1.91
70;11.54
;38
32;18
33;20.37
95;3.15
;39
34;3.64
119;4.05
;40
35;6.18
;41
31;5.04
32;18.49
54;12.7
64;6.49
;42
48;15.43
55;8.9
99;5.72
;43
37;1.91
155;1
;44
34;18.16
47;2.45
93;22.98
;45
35;4.09
49;6.63
58;3.99
;46
55;11.14
83;8.09
93;14.97
;47
44;2.45
117;3.03
;48
42;15.43
120;3.85
;49
45;6.63
;50
36;8.35
54;6.15
169;2
;51
4;19.06
53;26.6
55;15.16
65;11.08
;52
2;3.36
18;18.07
56;17.07
;53
51;26.6
57;3.36
82;16.17
;54
29;18.34
36;4.82
41;12.7
50;6.15
;55
42;8.9
46;11.14
51;15.16
60;2.18
;56
6;2.82
52;17.07
61;6.63
;57
53;3.36
121;4.03
;58
45;3.99
108;12.73
;59
75;4.45
93;18.97
94;6.44
97;11.44
;60
55;2.18
160;1
;61
10;2.92
14;7.12
56;6.63
;62
67;2.63
79;15.02
99;26.24
;63
19;2.36
106;3.14
;64
31;8.62
41;6.49
149;2
;65
51;11.08
83;6.54
84;19.34
101;48.66
;66
13;3.28
112;4.59
;67
62;2.63
107;8.36
;68
24;2.49
106;2.92
;69
15;1.83
223;1
;70
16;6.79
29;17.82
37;11.54
;71
5;5
105;17.69
;72
26;10.87
77;7.13
204;2
;73
22;5.96
23;17.66
77;12.33
81;7.33
;74
14;8.54
142;2
;75
59;4.45
94;9.13
111;11.01
;76
98;6.63
219;2
;77
18;17.32
26;5.8
72;7.13
73;12.33
;78
101;7.63
148;2
;79
62;15.02
85;2.67
89;2.56
;80
9;4.65
105;14.83
;81
22;11.17
73;7.33
131;2
;82
53;16.17
86;3
91;5.63
;83
46;8.09
65;6.54
102;13.53
;84
4;10.98
17;6.73
65;19.34
88;4.54
;85
79;2.67
107;7.94
;86
82;3
122;4.41
;87
15;10.19
110;5.09
124;6.61
;88
17;8.82
84;4.54
111;9.12
;89
21;3.33
25;4.39
79;2.56
;90
33;3.28
104;12.73
;91
82;5.63
98;5.18
;92
5;7.25
7;12.1
15;29.6
96;5.12
;93
44;22.98
46;14.97
59;18.97
99;11.26
;94
59;6.44
75;9.13
250;2
;95
38;3.15
104;12.56
;96
92;5.12
132;2
;97
1;8.35
59;11.44
99;18.88
100;4.72
;98
0;4.09
76;6.63
91;5.18
;99
42;5.72
62;26.24
93;11.26
97;18.88
;100
1;10.79
97;4.72
111;10.33
;101
29;54.57
65;48.66
78;7.63
;102
83;13.53
118;2.83
;103
10;3.68
144;8.03
150;8.32
;104
90;12.73
95;12.56
;105
71;17.69
80;14.83
;106
63;3.14
68;2.92
;107
67;8.36
85;7.94
;108
3;12.42
58;12.73
;109
110;4.17
124;3.17
145;2.67
205;1.67
275;2.4
293;2.4
349;2.8
366;3.46
381;2.12
382;2.35
403;2.46
405;2.72
491;2.4
499;3.04
504;3.17
541;4.02
544;3.07
557;3.51
561;3.39
574;2.59
607;3.31
636;4.17
661;3.2
719;3.72
730;3.51
765;5.39
828;2.97
837;4.01
901;3.79
906;4.01
916;4.3
972;2.91
;110
87;5.09
109;4.17
;111
8;9.09
22;9.55
26;9.34
31;10.74
36;10.94
75;11.01
88;9.12
100;10.33
;112
66;4.59
242;8.32
247;8.18
;113
30;3.22
;114
20;3.56
;115
2;2.98
;116
6;3.2
;117
47;3.03
;118
102;2.83
;119
39;4.05
211;7.64
129;9.29
;120
48;3.85
;121
57;4.03
;122
86;4.41
;123
21;4.21
166;8.12
202;8.6
;124
109;3.17
87;6.61
;125
225;4.86
244;2.35
;126
131;5.88
210;7.47
243;19.1
;127
132;1.81
227;10.95
;128
217;4.48
;129
119;9.29
208;7.17
;130
135;3.5
345;2
;131
81;2
126;5.88
;132
96;2
127;1.81
356;2
;133
217;2.38
;134
141;8.96
146;10.49
213;6.33
;135
130;3.5
142;4.81
;136
139;8.5
143;7.71
180;11.91
240;6.38
